Age,Gender,Sexuality,Ethnicity,EdLevel,CompanySize,Country,Employment,DevType(Position),Currency,CurrencySymbol,Salary,SalaryFreq,DollarizedSalary,YearsCode,YearsCodePro,OperatingSystem,DatabaseWantToWorkWith,DatabaseHaveWorkedWith,FrameworkWantToWorkWith,FrameworkHaveWorkedWith,LanguageWantToWorkWith,LanguageHaveWorkedWith,PlatformWantToWorkWith,PlatformHaveWorkedWith,SurveyYear
25-34 years old,Man,Bisexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,UK,"Employed, full-time","Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Engineer, site reliability",Pound sterling,GBP,32000.0,Yearly,40205.0,14,5,Windows,Microsoft SQL Server,Microsoft SQL Server,Angular;Angular.js,Angular.js,C#;C++;HTML/CSS;JavaScript;TypeScript,C#;C++;HTML/CSS;JavaScript;Python,,,2022
25-34 years old,,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test",United States dollar,USD,,,,8,3,Windows,Cloud Firestore;Elasticsearch;Firebase Realtime Database;Redis,Cloud Firestore;Elasticsearch;Microsoft SQL Server;Firebase Realtime Database,Angular;ASP.NET Core ;Blazor;Node.js,Angular;ASP.NET;ASP.NET Core ;jQuery;Node.js,C#;Elixir;F#;Go;JavaScript;Rust;TypeScript,C#;HTML/CSS;JavaScript;SQL;Swift;TypeScript,Firebase;Microsoft Azure,Firebase;Microsoft Azure,2022
Under 18 years old,Man,,Indian,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,India,"Student, part-time",,,,,,,3,,macOS,MySQL;Oracle;PostgreSQL,Cloud Firestore;MongoDB;Firebase Realtime Database,Django;Flask;Gatsby;jQuery;Next.js;Node.js;React.js;Svelte;Vue.js,Angular;Next.js;Node.js;React.js;Svelte;Vue.js,C;C#;C++;Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;Swift;TypeScript,C++;HTML/CSS;JavaScript;PHP;Python;TypeScript,,,2022
18-24 years old,Man,Straight / Heterosexual,Indian,Some college/university study without earning a degree,,India,"Not employed, but looking for work","Developer, full-stack;Student",,,,,,1,,Linux-based;macOS,Neo4j;PostgreSQL,MongoDB;MySQL,Angular;Angular.js;Next.js;Vue.js,jQuery;Node.js,APL;Bash/Shell;Go;Python;TypeScript,C;C++;HTML/CSS;Java;JavaScript;SQL,DigitalOcean;Firebase;Microsoft Azure;VMware,AWS;Google Cloud;Heroku,2022
18-24 years old,Man,Straight / Heterosexual,European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,UK,"Employed, full-time","Developer, full-stack;Developer, back-end",Pound sterling,GBP,48000.0,Yearly,60307.0,5,2,Windows;Windows Subsystem for Linux (WSL),Microsoft SQL Server,Microsoft SQL Server,ASP.NET;ASP.NET Core ;Blazor,ASP.NET;ASP.NET Core ;Vue.js,C#;Go;JavaScript,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL,Microsoft Azure,AWS;Microsoft Azure,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,USA,"Employed, full-time;Independent contractor, freelancer, or self-employed",Engineering manager,United States dollar,USD,194400.0,Yearly,194400.0,12,10,Linux-based;macOS;Windows,Elasticsearch;MongoDB;Redis;SQLite,Couchbase;CouchDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,ASP.NET Core ;Node.js;Nuxt.js;React.js;Vue.js,ASP.NET;ASP.NET Core ;Express;Node.js;Vue.js,C++;Go;HTML/CSS;JavaScript;Lua;Rust;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,AWS;DigitalOcean;Firebase;Linode,AWS;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,65000.0,Yearly,65000.0,12,5,macOS,Elasticsearch;Redis,PostgreSQL,React.js,React.js,Haskell;HTML/CSS;Rust;Swift,C;HTML/CSS;Rust;SQL;Swift;TypeScript,AWS,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","5,000 to 9,999 employees",USA,"Employed, full-time;Independent contractor, freelancer, or self-employed","Developer, full-stack;Academic researcher;DevOps specialist",United States dollar,USD,110000.0,Yearly,110000.0,11,5,macOS,Elasticsearch;MongoDB;Neo4j;PostgreSQL,Elasticsearch;MongoDB;Neo4j;PostgreSQL,Django;FastAPI;React.js;Vue.js,Django;Flask;jQuery;Node.js;Ruby on Rails;Vue.js,HTML/CSS;JavaScript;Python;Scala,HTML/CSS;JavaScript;PHP;Python;R;Ruby;Scala,AWS,AWS;DigitalOcean;Heroku,2022
35-44 years old,Man,Straight / Heterosexual,White;North American,Something else,100 to 499 employees,Canada,"Employed, full-time","Developer, back-end",Canadian dollar,CAD,125000.0,Yearly,97605.0,25,20,Windows,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;PostgreSQL;Redis,ASP.NET Core ,Angular;ASP.NET Core ;React.js,C#;SQL,C#;SQL;TypeScript,,Google Cloud;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,White;European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,Germany,"Employed, full-time","Developer, back-end;Developer, mobile",European Euro,EUR,85000.0,Yearly,90647.0,16,9,macOS,PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,Express;Node.js,Express;Gatsby;Node.js,C#;Dart;Java;Kotlin;Swift;TypeScript,Dart;Go;Java;Kotlin;Swift;TypeScript,AWS;Microsoft Azure,AWS;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,White;North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,USA,"Employed, full-time","Developer, full-stack;Developer, back-end",United States dollar,USD,106960.0,Yearly,106960.0,10,5,macOS,MongoDB,MongoDB;MySQL,jQuery;React.js,jQuery,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Python,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;SQL,AWS,AWS,2022
35-44 years old,Man,Straight / Heterosexual,Prefer not to say,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics",United States dollar,USD,130000.0,Yearly,130000.0,20,14,Windows,,,,,C++,C;C++,,,2022
55-64 years old,Man,Straight / Heterosexual,Middle Eastern,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,102000.0,Yearly,102000.0,24,21,Windows,,Microsoft SQL Server,Angular;ASP.NET Core ;Blazor;Vue.js,ASP.NET,TypeScript,C#;HTML/CSS;JavaScript;SQL,,Microsoft Azure,2022
Under 18 years old,Man,Straight / Heterosexual,White;North American,Primary/elementary school,,Canada,"Student, full-time;Employed, part-time",Student,,,,,,3,,,,,,,Python,C++;Python,Google Cloud;OVH;VMware,AWS;Google Cloud;OVH;VMware,2022
25-34 years old,Man,Straight / Heterosexual,North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,Canada,"Employed, full-time","Developer, back-end;Project manager",Canadian dollar,CAD,,,,12,7,,,MongoDB;PostgreSQL;SQLite,Django;FastAPI;React.js,Angular;Angular.js;Django;Flask;jQuery;Node.js,Bash/Shell;Go;Python,C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,AWS;Google Cloud;Linode;Microsoft Azure,AWS;VMware,2022
35-44 years old,Man,Straight / Heterosexual,White,"Associate degree (A.A., A.S., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Database administrator;Developer, embedded applications or devices;Cloud infrastructure engineer;Data or business analyst;Designer",United States dollar,USD,130000.0,Yearly,130000.0,20,15,,,MongoDB;MySQL;SQLite,,ASP.NET;ASP.NET Core ;jQuery,,C#;C++;HTML/CSS;JavaScript;SQL;TypeScript;VBA,,AWS;Managed Hosting;Microsoft Azure,2022
25-34 years old,Woman,Straight / Heterosexual,White;European;Asian;East Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, full-stack;Developer, back-end",United States dollar,USD,135000.0,Yearly,135000.0,6,5,macOS,,Cassandra;MySQL,,Angular;Angular.js;jQuery,C++;Go,Java;JavaScript;PHP;SQL;TypeScript,,,2022
55-64 years old,Man,Straight / Heterosexual,European,Some college/university study without earning a degree,20 to 99 employees,Germany,"Employed, full-time","Developer, back-end;Developer, desktop or enterprise applications",European Euro,EUR,100000.0,Yearly,106644.0,40,25,Windows;Windows Subsystem for Linux (WSL),,PostgreSQL,,,Dart;Haskell;Java;Swift,Haskell;Java;Rust,,,2022
